snp_id,posicion
snp_0,0
snp_1,1
snp_2,2
snp_3,3
snp_4,4
snp_5,5
snp_6,6
snp_7,7
snp_8,8
snp_9,9
snp_10,10
snp_11,11
snp_12,12
snp_13,13
snp_14,14
snp_15,15
snp_16,16
snp_17,17
snp_18,18
snp_19,19
snp_20,20
snp_21,21
snp_22,22
snp_23,23
snp_24,24
snp_25,25
snp_26,26
snp_27,27
snp_28,28
snp_29,29
snp_30,30
snp_31,31
snp_32,32
snp_33,33
snp_34,34
snp_35,35
snp_36,36
snp_37,37
snp_38,38
snp_39,39
snp_40,40
snp_41,41
snp_42,42
snp_43,43
snp_44,44
snp_45,45
snp_46,46
snp_47,47
snp_48,48
snp_49,49
snp_50,50
snp_51,51
snp_52,52
snp_53,53
snp_54,54
snp_55,55
snp_56,56
snp_57,57
snp_58,58
snp_59,59
snp_60,60
snp_61,61
snp_62,62
snp_63,63
snp_64,64
snp_65,65
snp_66,66
snp_67,67
snp_68,68
snp_69,69
snp_70,70
snp_71,71
snp_72,72
snp_73,73
snp_74,74
snp_75,75
snp_76,76
snp_77,77
snp_78,78
snp_79,79
snp_80,80
snp_81,81
snp_82,82
snp_83,83
snp_84,84
snp_85,85
snp_86,86
snp_87,87
snp_88,88
snp_89,89
snp_90,90
snp_91,91
snp_92,92
snp_93,93
snp_94,94
snp_95,95
snp_96,96
snp_97,97
snp_98,98
snp_99,99
snp_100,100
snp_101,101
snp_102,102
snp_103,103
snp_104,104
snp_105,105
snp_106,106
snp_107,107
snp_108,108
snp_109,109
snp_110,110
snp_111,111
snp_112,112
snp_113,113
snp_114,114
snp_115,115
snp_116,116
snp_117,117
snp_118,118
snp_119,119
snp_120,120
snp_121,121
snp_122,122
snp_123,123
snp_124,124
snp_125,125
snp_126,126
snp_127,127
snp_128,128
snp_129,129
snp_130,130
snp_131,131
snp_132,132
snp_133,133
snp_134,134
snp_135,135
snp_136,136
snp_137,137
snp_138,138
snp_139,139
snp_140,140
snp_141,141
snp_142,142
snp_143,143
snp_144,144
snp_145,145
snp_146,146
snp_147,147
snp_148,148
snp_149,149
snp_150,150
snp_151,151
snp_152,152
snp_153,153
snp_154,154
snp_155,155
snp_156,156
snp_157,157
snp_158,158
snp_159,159
snp_160,160
snp_161,161
snp_162,162
snp_163,163
snp_164,164
snp_165,165
snp_166,166
snp_167,167
snp_168,168
snp_169,169
snp_170,170
snp_171,171
snp_172,172
snp_173,173
snp_174,174
snp_175,175
snp_176,176
snp_177,177
snp_178,178
snp_179,179
snp_180,180
snp_181,181
snp_182,182
snp_183,183
snp_184,184
snp_185,185
snp_186,186
snp_187,187
snp_188,188
snp_189,189
snp_190,190
snp_191,191
snp_192,192
snp_193,193
snp_194,194
snp_195,195
snp_196,196
snp_197,197
snp_198,198
snp_199,199
snp_200,200
snp_201,201
snp_202,202
snp_203,203
snp_204,204
snp_205,205
snp_206,206
snp_207,207
snp_208,208
snp_209,209
snp_210,210
snp_211,211
snp_212,212
snp_213,213
snp_214,214
snp_215,215
snp_216,216
snp_217,217
snp_218,218
snp_219,219
snp_220,220
snp_221,221
snp_222,222
snp_223,223
snp_224,224
snp_225,225
snp_226,226
snp_227,227
snp_228,228
snp_229,229
snp_230,230
snp_231,231
snp_232,232
snp_233,233
snp_234,234
snp_235,235
snp_236,236
snp_237,237
snp_238,238
snp_239,239
snp_240,240
snp_241,241
snp_242,242
snp_243,243
snp_244,244
snp_245,245
snp_246,246
snp_247,247
snp_248,248
snp_249,249
snp_250,250
snp_251,251
snp_252,252
snp_253,253
snp_254,254
snp_255,255
snp_256,256
snp_257,257
snp_258,258
snp_259,259
snp_260,260
snp_261,261
snp_262,262
snp_263,263
snp_264,264
snp_265,265
snp_266,266
snp_267,267
snp_268,268
snp_269,269
snp_270,270
snp_271,271
snp_272,272
snp_273,273
snp_274,274
snp_275,275
snp_276,276
snp_277,277
snp_278,278
snp_279,279
snp_280,280
snp_281,281
snp_282,282
snp_283,283
snp_284,284
snp_285,285
snp_286,286
snp_287,287
snp_288,288
snp_289,289
snp_290,290
snp_291,291
snp_292,292
snp_293,293
snp_294,294
snp_295,295
snp_296,296
snp_297,297
snp_298,298
snp_299,299
snp_300,300
snp_301,301
snp_302,302
snp_303,303
snp_304,304
snp_305,305
snp_306,306
snp_307,307
snp_308,308
snp_309,309
snp_310,310
snp_311,311
snp_312,312
snp_313,313
snp_314,314
snp_315,315
snp_316,316
snp_317,317
snp_318,318
snp_319,319
snp_320,320
snp_321,321
snp_322,322
snp_323,323
snp_324,324
snp_325,325
snp_326,326
snp_327,327
snp_328,328
snp_329,329
snp_330,330
snp_331,331
snp_332,332
snp_333,333
snp_334,334
snp_335,335
snp_336,336
snp_337,337
snp_338,338
snp_339,339
snp_340,340
snp_341,341
snp_342,342
snp_343,343
snp_344,344
snp_345,345
snp_346,346
snp_347,347
snp_348,348
snp_349,349
snp_350,350
snp_351,351
snp_352,352
snp_353,353
snp_354,354
snp_355,355
snp_356,356
snp_357,357
snp_358,358
snp_359,359
snp_360,360
snp_361,361
snp_362,362
snp_363,363
snp_364,364
snp_365,365
snp_366,366
snp_367,367
snp_368,368
snp_369,369
snp_370,370
snp_371,371
snp_372,372
snp_373,373
snp_374,374
snp_375,375
snp_376,376
snp_377,377
snp_378,378
snp_379,379
snp_380,380
snp_381,381
snp_382,382
snp_383,383
snp_384,384
snp_385,385
snp_386,386
snp_387,387
snp_388,388
snp_389,389
snp_390,390
snp_391,391
snp_392,392
snp_393,393
snp_394,394
snp_395,395
snp_396,396
snp_397,397
snp_398,398
snp_399,399
snp_400,400
snp_401,401
snp_402,402
snp_403,403
snp_404,404
snp_405,405
snp_406,406
snp_407,407
snp_408,408
snp_409,409
snp_410,410
snp_411,411
snp_412,412
snp_413,413
snp_414,414
snp_415,415
snp_416,416
snp_417,417
snp_418,418
snp_419,419
snp_420,420
snp_421,421
snp_422,422
snp_423,423
snp_424,424
snp_425,425
snp_426,426
snp_427,427
snp_428,428
snp_429,429
snp_430,430
snp_431,431
snp_432,432
snp_433,433
snp_434,434
snp_435,435
snp_436,436
snp_437,437
snp_438,438
snp_439,439
snp_440,440
snp_441,441
snp_442,442
snp_443,443
snp_444,444
snp_445,445
snp_446,446
snp_447,447
snp_448,448
snp_449,449
snp_450,450
snp_451,451
snp_452,452
snp_453,453
snp_454,454
snp_455,455
snp_456,456
snp_457,457
snp_458,458
snp_459,459
snp_460,460
snp_461,461
snp_462,462
snp_463,463
snp_464,464
snp_465,465
snp_466,466
snp_467,467
snp_468,468
snp_469,469
snp_470,470
snp_471,471
snp_472,472
snp_473,473
snp_474,474
snp_475,475
snp_476,476
snp_477,477
snp_478,478
snp_479,479
snp_480,480
snp_481,481
snp_482,482
snp_483,483
snp_484,484
snp_485,485
snp_486,486
snp_487,487
snp_488,488
snp_489,489
snp_490,490
snp_491,491
snp_492,492
snp_493,493
snp_494,494
snp_495,495
snp_496,496
snp_497,497
snp_498,498
snp_499,499
snp_500,500
snp_501,501
snp_502,502
snp_503,503
snp_504,504
snp_505,505
snp_506,506
snp_507,507
snp_508,508
snp_509,509
snp_510,510
snp_511,511
snp_512,512
snp_513,513
snp_514,514
snp_515,515
snp_516,516
snp_517,517
snp_518,518
snp_519,519
snp_520,520
snp_521,521
snp_522,522
snp_523,523
snp_524,524
snp_525,525
snp_526,526
snp_527,527
snp_528,528
snp_529,529
snp_530,530
snp_531,531
snp_532,532
snp_533,533
snp_534,534
snp_535,535
snp_536,536
snp_537,537
snp_538,538
snp_539,539
snp_540,540
snp_541,541
snp_542,542
snp_543,543
snp_544,544
snp_545,545
snp_546,546
snp_547,547
snp_548,548
snp_549,549
snp_550,550
snp_551,551
snp_552,552
snp_553,553
snp_554,554
snp_555,555
snp_556,556
snp_557,557
snp_558,558
snp_559,559
snp_560,560
snp_561,561
snp_562,562
snp_563,563
snp_564,564
snp_565,565
snp_566,566
snp_567,567
snp_568,568
snp_569,569
snp_570,570
snp_571,571
snp_572,572
snp_573,573
snp_574,574
snp_575,575
snp_576,576
snp_577,577
snp_578,578
snp_579,579
snp_580,580
snp_581,581
snp_582,582
snp_583,583
snp_584,584
snp_585,585
snp_586,586
snp_587,587
snp_588,588
snp_589,589
snp_590,590
snp_591,591
snp_592,592
snp_593,593
snp_594,594
snp_595,595
snp_596,596
snp_597,597
snp_598,598
snp_599,599
snp_600,600
snp_601,601
snp_602,602
snp_603,603
snp_604,604
snp_605,605
snp_606,606
snp_607,607
snp_608,608
snp_609,609
snp_610,610
snp_611,611
snp_612,612
snp_613,613
snp_614,614
snp_615,615
snp_616,616
snp_617,617
snp_618,618
snp_619,619
snp_620,620
snp_621,621
snp_622,622
snp_623,623
snp_624,624
snp_625,625
snp_626,626
snp_627,627
snp_628,628
snp_629,629
snp_630,630
snp_631,631
snp_632,632
snp_633,633
snp_634,634
snp_635,635
snp_636,636
snp_637,637
snp_638,638
snp_639,639
snp_640,640
snp_641,641
snp_642,642
snp_643,643
snp_644,644
snp_645,645
snp_646,646
snp_647,647
snp_648,648
snp_649,649
snp_650,650
snp_651,651
snp_652,652
snp_653,653
snp_654,654
snp_655,655
snp_656,656
snp_657,657
snp_658,658
snp_659,659
snp_660,660
snp_661,661
snp_662,662
snp_663,663
snp_664,664
snp_665,665
snp_666,666
snp_667,667
snp_668,668
snp_669,669
snp_670,670
snp_671,671
snp_672,672
snp_673,673
snp_674,674
snp_675,675
snp_676,676
snp_677,677
snp_678,678
snp_679,679
snp_680,680
snp_681,681
snp_682,682
snp_683,683
snp_684,684
snp_685,685
snp_686,686
snp_687,687
snp_688,688
snp_689,689
snp_690,690
snp_691,691
snp_692,692
snp_693,693
snp_694,694
snp_695,695
snp_696,696
snp_697,697
snp_698,698
snp_699,699
snp_700,700
snp_701,701
snp_702,702
snp_703,703
snp_704,704
snp_705,705
snp_706,706
snp_707,707
snp_708,708
snp_709,709
snp_710,710
snp_711,711
snp_712,712
snp_713,713
snp_714,714
snp_715,715
snp_716,716
snp_717,717
snp_718,718
snp_719,719
snp_720,720
snp_721,721
snp_722,722
snp_723,723
snp_724,724
snp_725,725
snp_726,726
snp_727,727
snp_728,728
snp_729,729
snp_730,730
snp_731,731
snp_732,732
snp_733,733
snp_734,734
snp_735,735
snp_736,736
snp_737,737
snp_738,738
snp_739,739
snp_740,740
snp_741,741
snp_742,742
snp_743,743
snp_744,744
snp_745,745
snp_746,746
snp_747,747
snp_748,748
snp_749,749
snp_750,750
snp_751,751
snp_752,752
snp_753,753
snp_754,754
snp_755,755
snp_756,756
snp_757,757
snp_758,758
snp_759,759
snp_760,760
snp_761,761
snp_762,762
snp_763,763
snp_764,764
snp_765,765
snp_766,766
snp_767,767
snp_768,768
snp_769,769
snp_770,770
snp_771,771
snp_772,772
snp_773,773
snp_774,774
snp_775,775
snp_776,776
snp_777,777
snp_778,778
snp_779,779
snp_780,780
snp_781,781
snp_782,782
snp_783,783
snp_784,784
snp_785,785
snp_786,786
snp_787,787
snp_788,788
snp_789,789
snp_790,790
snp_791,791
snp_792,792
snp_793,793
snp_794,794
snp_795,795
snp_796,796
snp_797,797
snp_798,798
snp_799,799
snp_800,800
snp_801,801
snp_802,802
snp_803,803
snp_804,804
snp_805,805
snp_806,806
snp_807,807
snp_808,808
snp_809,809
snp_810,810
snp_811,811
snp_812,812
snp_813,813
snp_814,814
snp_815,815
snp_816,816
snp_817,817
snp_818,818
snp_819,819
snp_820,820
snp_821,821
snp_822,822
snp_823,823
snp_824,824
snp_825,825
snp_826,826
snp_827,827
snp_828,828
snp_829,829
snp_830,830
snp_831,831
snp_832,832
snp_833,833
snp_834,834
snp_835,835
snp_836,836
snp_837,837
snp_838,838
snp_839,839
snp_840,840
snp_841,841
snp_842,842
snp_843,843
snp_844,844
snp_845,845
snp_846,846
snp_847,847
snp_848,848
snp_849,849
snp_850,850
snp_851,851
snp_852,852
snp_853,853
snp_854,854
snp_855,855
snp_856,856
snp_857,857
snp_858,858
snp_859,859
snp_860,860
snp_861,861
snp_862,862
snp_863,863
snp_864,864
snp_865,865
snp_866,866
snp_867,867
snp_868,868
snp_869,869
snp_870,870
snp_871,871
snp_872,872
snp_873,873
snp_874,874
snp_875,875
snp_876,876
snp_877,877
snp_878,878
snp_879,879
snp_880,880
snp_881,881
snp_882,882
snp_883,883
snp_884,884
snp_885,885
snp_886,886
snp_887,887
snp_888,888
snp_889,889
snp_890,890
snp_891,891
snp_892,892
snp_893,893
snp_894,894
snp_895,895
snp_896,896
snp_897,897
snp_898,898
snp_899,899
snp_900,900
snp_901,901
snp_902,902
snp_903,903
snp_904,904
snp_905,905
snp_906,906
snp_907,907
snp_908,908
snp_909,909
snp_910,910
snp_911,911
snp_912,912
snp_913,913
snp_914,914
snp_915,915
snp_916,916
snp_917,917
snp_918,918
snp_919,919
snp_920,920
snp_921,921
snp_922,922
snp_923,923
snp_924,924
snp_925,925
snp_926,926
snp_927,927
snp_928,928
snp_929,929
snp_930,930
snp_931,931
snp_932,932
snp_933,933
snp_934,934
snp_935,935
snp_936,936
snp_937,937
snp_938,938
snp_939,939
snp_940,940
snp_941,941
snp_942,942
snp_943,943
snp_944,944
snp_945,945
snp_946,946
snp_947,947
snp_948,948
snp_949,949
snp_950,950
snp_951,951
snp_952,952
snp_953,953
snp_954,954
snp_955,955
snp_956,956
snp_957,957
snp_958,958
snp_959,959
snp_960,960
snp_961,961
snp_962,962
snp_963,963
snp_964,964
snp_965,965
snp_966,966
snp_967,967
snp_968,968
snp_969,969
snp_970,970
snp_971,971
snp_972,972
snp_973,973
snp_974,974
snp_975,975
snp_976,976
snp_977,977
snp_978,978
snp_979,979
snp_980,980
snp_981,981
snp_982,982
snp_983,983
snp_984,984
snp_985,985
snp_986,986
snp_987,987
snp_988,988
snp_989,989
snp_990,990
snp_991,991
snp_992,992
snp_993,993
snp_994,994
snp_995,995
snp_996,996
snp_997,997
snp_998,998
snp_999,999
snp_1000,1000
snp_1001,1001
snp_1002,1002
snp_1003,1003
snp_1004,1004
snp_1005,1005
snp_1006,1006
snp_1007,1007
snp_1008,1008
snp_1009,1009
snp_1010,1010
snp_1011,1011
snp_1012,1012
snp_1013,1013
snp_1014,1014
snp_1015,1015
snp_1016,1016
snp_1017,1017
snp_1018,1018
snp_1019,1019
snp_1020,1020
snp_1021,1021
snp_1022,1022
snp_1023,1023
snp_1024,1024
snp_1025,1025
snp_1026,1026
snp_1027,1027
snp_1028,1028
snp_1029,1029
snp_1030,1030
snp_1031,1031
